Timestep,Electricity_priceEUR,TemperatureC,Electricity_priceCHF,ElecPriceCHF_cropped,Time,Temperature_Basel_degC
2023-01-01T00:00+0100,0.03,11.57,0.0291,0.0291,0,6.1
2023-01-01T01:00+0100,-7.25,13.47,-7.0325,0,1,5.7
2023-01-01T02:00+0100,-3.99,12.39,-3.8703,0,2,5.3
2023-01-01T03:00+0100,-7.71,11.69,-7.4787,0,3,5.2
2023-01-01T04:00+0100,-9.71,11.55,-9.4187,0,4,5
2023-01-01T05:00+0100,-15.15,13.62,-14.6955,0,5,4.8
2023-01-01T06:00+0100,-14.33,14.7,-13.9001,0,6,4.6
2023-01-01T07:00+0100,-0.66,14.14,-0.6402,0,7,4.5
2023-01-01T08:00+0100,0.02,11.43,0.0194,0.0194,8,4.6
2023-01-01T09:00+0100,-1.23,12.41,-1.1931,0,9,6.1
2023-01-01T10:00+0100,-6.11,13.22,-5.9267,0,10,7.2
2023-01-01T11:00+0100,0.28,13.14,0.2716,0.2716,11,8.1
2023-01-01T12:00+0100,2.96,13.32,2.8712,2.8712,12,8.6
2023-01-01T13:00+0100,-0.79,14.81,-0.7663,0,13,8.8
2023-01-01T14:00+0100,3.06,14.91,2.9682,2.9682,14,8.7
2023-01-01T15:00+0100,9.53,13.76,9.2441,9.2441,15,8.1
2023-01-01T16:00+0100,19.95,13.07,19.3515,19.3515,16,7.3
2023-01-01T17:00+0100,30.46,11.92,29.5462,29.5462,17,7.2
2023-01-01T18:00+0100,34.39,11.19,33.3583,33.3583,18,7.1
2023-01-01T19:00+0100,35.15,10.75,34.0955,34.0955,19,7
2023-01-01T20:00+0100,29.57,10.48,28.6829,28.6829,20,6.8
2023-01-01T21:00+0100,24.92,10,24.1724,24.1724,21,6.7
2023-01-01T22:00+0100,20.72,9.54,20.0984,20.0984,22,6.5
2023-01-01T23:00+0100,13.46,9.19,13.0562,13.0562,23,6.4
2023-01-02T00:00+0100,40.37,8.98,39.1589,39.1589,24,6.3
2023-01-02T01:00+0100,29.23,8.67,28.3531,28.3531,25,6.4
2023-01-02T02:00+0100,22.28,8.32,21.6116,21.6116,26,6.4
2023-01-02T03:00+0100,14.17,8.24,13.7449,13.7449,27,6.4
2023-01-02T04:00+0100,24.94,8.11,24.1918,24.1918,28,6.4
2023-01-02T05:00+0100,48.84,8.03,47.3748,47.3748,29,6.5
2023-01-02T06:00+0100,74.52,8.15,72.2844,72.2844,30,6.5
2023-01-02T07:00+0100,112.32,8.02,108.9504,108.9504,31,6.5
2023-01-02T08:00+0100,123.03,7.65,119.3391,119.3391,32,6.7
2023-01-02T09:00+0100,125.92,8.16,122.1424,122.1424,33,7.7
2023-01-02T10:00+0100,127.31,8.93,123.4907,123.4907,34,8.5
2023-01-02T11:00+0100,125.47,9.98,121.7059,121.7059,35,9
2023-01-02T12:00+0100,129.43,12.4,125.5471,125.5471,36,9.5
2023-01-02T13:00+0100,120.34,13.32,116.7298,116.7298,37,9.7
2023-01-02T14:00+0100,132.27,13.96,128.3019,128.3019,38,9.7
2023-01-02T15:00+0100,136.2,13.62,132.114,132.114,39,9.3
2023-01-02T16:00+0100,145.91,13.25,141.5327,141.5327,40,8.9
2023-01-02T17:00+0100,153.85,13.37,149.2345,149.2345,41,8.7
2023-01-02T18:00+0100,161.43,12.81,156.5871,156.5871,42,8.5
2023-01-02T19:00+0100,154.75,12.45,150.1075,150.1075,43,8.3
2023-01-02T20:00+0100,148.62,11.85,144.1614,144.1614,44,8.1
2023-01-02T21:00+0100,134.97,11.08,130.9209,130.9209,45,8
2023-01-02T22:00+0100,121.01,10.69,117.3797,117.3797,46,7.8
2023-01-02T23:00+0100,112.1,9.89,108.737,108.737,47,7.6
2023-01-03T00:00+0100,119.17,9.41,115.5949,115.5949,48,7.3
2023-01-03T01:00+0100,113.38,9.46,109.9786,109.9786,49,7.1
2023-01-03T02:00+0100,108.94,8.86,105.6718,105.6718,50,6.7
2023-01-03T03:00+0100,101.05,8.75,98.0185,98.0185,51,6.6
2023-01-03T04:00+0100,105.86,8.62,102.6842,102.6842,52,6.4
2023-01-03T05:00+0100,119.07,8.46,115.4979,115.4979,53,6.3
2023-01-03T06:00+0100,156.05,8.46,151.3685,151.3685,54,6.2
2023-01-03T07:00+0100,183.96,8.45,178.4412,178.4412,55,6.1
2023-01-03T08:00+0100,185.2,8.53,179.644,179.644,56,6.2
2023-01-03T09:00+0100,186.56,8.5,180.9632,180.9632,57,6.9
2023-01-03T10:00+0100,184.08,8.63,178.5576,178.5576,58,7.5
2023-01-03T11:00+0100,179.02,8.77,173.6494,173.6494,59,8
2023-01-03T12:00+0100,171.42,8.89,166.2774,166.2774,60,8.4
2023-01-03T13:00+0100,167.95,8.89,162.9115,162.9115,61,8.7
2023-01-03T14:00+0100,170.04,8.82,164.9388,164.9388,62,8.8
2023-01-03T15:00+0100,171.8,9.16,166.646,166.646,63,8.5
2023-01-03T16:00+0100,172.47,8.97,167.2959,167.2959,64,8
2023-01-03T17:00+0100,186.24,8.9,180.6528,180.6528,65,7.7
2023-01-03T18:00+0100,180.86,8.75,175.4342,175.4342,66,7.5
2023-01-03T19:00+0100,171.49,8.56,166.3453,166.3453,67,7.2
2023-01-03T20:00+0100,158.72,8.29,153.9584,153.9584,68,7
2023-01-03T21:00+0100,147.74,8.09,143.3078,143.3078,69,6.7
2023-01-03T22:00+0100,141.58,7.91,137.3326,137.3326,70,6.5
2023-01-03T23:00+0100,113.49,7.51,110.0853,110.0853,71,6.2
2023-01-04T00:00+0100,121.55,6.81,117.9035,117.9035,72,6.1
2023-01-04T01:00+0100,104.19,6.84,101.0643,101.0643,73,5.9
2023-01-04T02:00+0100,88.65,6.76,85.9905,85.9905,74,5.6
2023-01-04T03:00+0100,84.82,6.86,82.2754,82.2754,75,5.2
2023-01-04T04:00+0100,83.95,7.11,81.4315,81.4315,76,5.3
2023-01-04T05:00+0100,111.52,6.76,108.1744,108.1744,77,5.4
2023-01-04T06:00+0100,128.92,6.22,125.0524,125.0524,78,5.3
2023-01-04T07:00+0100,147.38,6.59,142.9586,142.9586,79,5.3
2023-01-04T08:00+0100,154.3,6.87,149.671,149.671,80,5.3
2023-01-04T09:00+0100,158.76,7.64,153.9972,153.9972,81,5.9
2023-01-04T10:00+0100,153.82,8.2,149.2054,149.2054,82,6.3
2023-01-04T11:00+0100,151.4,8.51,146.858,146.858,83,6.6
2023-01-04T12:00+0100,155.46,9,150.7962,150.7962,84,6.8
2023-01-04T13:00+0100,153.47,9.26,148.8659,148.8659,85,7.1
2023-01-04T14:00+0100,156.53,9.54,151.8341,151.8341,86,7.2
2023-01-04T15:00+0100,152.6,9.63,148.022,148.022,87,7
2023-01-04T16:00+0100,154.18,9.79,149.5546,149.5546,88,6.6
2023-01-04T17:00+0100,152.6,10.11,148.022,148.022,89,6.4
2023-01-04T18:00+0100,157.59,10.47,152.8623,152.8623,90,6.2
2023-01-04T19:00+0100,155,10.43,150.35,150.35,91,5.8
2023-01-04T20:00+0100,149.07,10.52,144.5979,144.5979,92,5.5
2023-01-04T21:00+0100,148.57,10.92,144.1129,144.1129,93,5.3
2023-01-04T22:00+0100,144.52,11.13,140.1844,140.1844,94,5
2023-01-04T23:00+0100,124.96,10.8,121.2112,121.2112,95,4.7
2023-01-05T00:00+0100,110.55,10.34,107.2335,107.2335,96,4.4
2023-01-05T01:00+0100,111.24,10.41,107.9028,107.9028,97,4
2023-01-05T02:00+0100,110.04,10.66,106.7388,106.7388,98,3.6
2023-01-05T03:00+0100,109.41,10.72,106.1277,106.1277,99,3.5
2023-01-05T04:00+0100,108.78,10.47,105.5166,105.5166,100,3.4
2023-01-05T05:00+0100,112.11,10.38,108.7467,108.7467,101,3.2
2023-01-05T06:00+0100,121.98,10.42,118.3206,118.3206,102,3
2023-01-05T07:00+0100,129.95,10.54,126.0515,126.0515,103,2.9
2023-01-05T08:00+0100,142.56,10.59,138.2832,138.2832,104,3.1
2023-01-05T09:00+0100,146.72,11,142.3184,142.3184,105,4.8
2023-01-05T10:00+0100,143.07,11.26,138.7779,138.7779,106,6.3
2023-01-05T11:00+0100,145.88,11.63,141.5036,141.5036,107,7.8
2023-01-05T12:00+0100,146.54,12.12,142.1438,142.1438,108,8.8
2023-01-05T13:00+0100,146.57,12.16,142.1729,142.1729,109,9.2
2023-01-05T14:00+0100,154.18,12.21,149.5546,149.5546,110,9
2023-01-05T15:00+0100,156.39,12.03,151.6983,151.6983,111,8.2
2023-01-05T16:00+0100,159.96,12.03,155.1612,155.1612,112,7.2
2023-01-05T17:00+0100,177.53,11.92,172.2041,172.2041,113,6.9
2023-01-05T18:00+0100,180.1,11.76,174.697,174.697,114,6.6
2023-01-05T19:00+0100,174.24,11.32,169.0128,169.0128,115,6.4
2023-01-05T20:00+0100,166.48,10.63,161.4856,161.4856,116,6.2
2023-01-05T21:00+0100,153.62,10.03,149.0114,149.0114,117,5.9
2023-01-05T22:00+0100,143.3,9.21,139.001,139.001,118,5.7
2023-01-05T23:00+0100,125.23,8.96,121.4731,121.4731,119,5.4
2023-01-06T00:00+0100,110.86,8.51,107.5342,107.5342,120,5.2
2023-01-06T01:00+0100,105.48,7.87,102.3156,102.3156,121,4.9
2023-01-06T02:00+0100,103.74,7.39,100.6278,100.6278,122,4.6
2023-01-06T03:00+0100,102.78,6.96,99.6966,99.6966,123,4.1
2023-01-06T04:00+0100,102.25,6.29,99.1825,99.1825,124,4.4
2023-01-06T05:00+0100,106.81,6.23,103.6057,103.6057,125,4.4
2023-01-06T06:00+0100,115.53,6.6,112.0641,112.0641,126,4.3
2023-01-06T07:00+0100,141.33,7.13,137.0901,137.0901,127,4.2
2023-01-06T08:00+0100,141.17,7.36,136.9349,136.9349,128,4.2
2023-01-06T09:00+0100,141.65,7.44,137.4005,137.4005,129,4.6
2023-01-06T10:00+0100,140.49,8.09,136.2753,136.2753,130,5
2023-01-06T11:00+0100,142.56,8.42,138.2832,138.2832,131,5.3
2023-01-06T12:00+0100,135.31,8.67,131.2507,131.2507,132,5.5
2023-01-06T13:00+0100,119.88,9.1,116.2836,116.2836,133,5.6
2023-01-06T14:00+0100,126.22,9.32,122.4334,122.4334,134,5.6
2023-01-06T15:00+0100,137.55,9.43,133.4235,133.4235,135,5.5
2023-01-06T16:00+0100,147.99,9.44,143.5503,143.5503,136,5.2
2023-01-06T17:00+0100,154.93,9.24,150.2821,150.2821,137,5
2023-01-06T18:00+0100,163.22,9.06,158.3234,158.3234,138,4.9
2023-01-06T19:00+0100,159.89,8.88,155.0933,155.0933,139,4.7
2023-01-06T20:00+0100,150.62,8.82,146.1014,146.1014,140,4.5
2023-01-06T21:00+0100,140.75,8.77,136.5275,136.5275,141,4.4
2023-01-06T22:00+0100,139.19,8.6,135.0143,135.0143,142,4
