Timestep,SolFlat,SolN,SolS,SolE,SolW,T_ext_C
1,0,0,0,0,0,6.1
2,0,0,0,0,0,5.7
3,0,0,0,0,0,5.3
4,0,0,0,0,0,5.2
5,0,0,0,0,0,5
6,0,0,0,0,0,4.8
7,0,0,0,0,0,4.6
8,0,0,0,0,0,4.5
9,0,0,0,0,0,4.6
10,0.008,0.008,0.006,0.006,0.008,6.1
11,0.018,0.017,0.015,0.016,0.017,7.2
12,0.024,0.023,0.021,0.022,0.022,8.1
13,0.039,0.036,0.036,0.036,0.036,8.6
14,0.054,0.049,0.051,0.049,0.05,8.8
15,0.053,0.047,0.052,0.047,0.051,8.7
16,0.034,0.029,0.037,0.029,0.038,8.1
17,0.011,0.01,0.01,0.01,0.01,7.3
18,0.001,0.001,0.001,0.001,0.001,7.2
19,0,0,0,0,0,7.1
20,0,0,0,0,0,7
21,0,0,0,0,0,6.8
22,0,0,0,0,0,6.7
23,0,0,0,0,0,6.5
24,0,0,0,0,0,6.4
25,0,0,0,0,0,6.3
26,0,0,0,0,0,6.4
27,0,0,0,0,0,6.4
28,0,0,0,0,0,6.4
29,0,0,0,0,0,6.4
30,0,0,0,0,0,6.5
31,0,0,0,0,0,6.5
32,0,0,0,0,0,6.5
33,0,0,0,0,0,6.7
34,0.006,0.006,0.005,0.005,0.006,7.7
35,0.018,0.017,0.015,0.016,0.017,8.5
36,0.033,0.031,0.028,0.03,0.03,9
37,0.048,0.045,0.043,0.044,0.044,9.5
38,0.053,0.047,0.051,0.048,0.05,9.7
39,0.043,0.038,0.041,0.038,0.041,9.7
40,0.029,0.026,0.029,0.026,0.029,9.3
41,0.013,0.012,0.012,0.012,0.012,8.9
42,0.002,0.002,0.002,0.002,0.002,8.7
43,0,0,0,0,0,8.5
44,0,0,0,0,0,8.3
45,0,0,0,0,0,8.1
46,0,0,0,0,0,8
47,0,0,0,0,0,7.8
48,0,0,0,0,0,7.6
49,0,0,0,0,0,7.3
50,0,0,0,0,0,7.1
51,0,0,0,0,0,6.7
52,0,0,0,0,0,6.6
53,0,0,0,0,0,6.4
54,0,0,0,0,0,6.3
55,0,0,0,0,0,6.2
56,0,0,0,0,0,6.1
57,0,0,0,0,0,6.2
58,0.051,0.025,0.1,0.086,0.025,6.9
59,0.142,0.05,0.285,0.197,0.071,7.5
60,0.213,0.058,0.428,0.232,0.165,8
61,0.247,0.066,0.495,0.2,0.259,8.4
62,0.227,0.074,0.452,0.12,0.302,8.7
63,0.173,0.069,0.364,0.069,0.299,8.8
64,0.09,0.052,0.209,0.052,0.216,8.5
65,0.032,0.03,0.03,0.03,0.03,8
66,0.005,0.005,0.005,0.005,0.005,7.7
67,0,0,0,0,0,7.5
68,0,0,0,0,0,7.2
69,0,0,0,0,0,7
70,0,0,0,0,0,6.7
71,0,0,0,0,0,6.5
72,0,0,0,0,0,6.2
73,0,0,0,0,0,6.1
74,0,0,0,0,0,5.9
75,0,0,0,0,0,5.6
76,0,0,0,0,0,5.2
77,0,0,0,0,0,5.3
78,0,0,0,0,0,5.4
79,0,0,0,0,0,5.3
80,0,0,0,0,0,5.3
81,0,0,0,0,0,5.3
82,0.041,0.024,0.074,0.064,0.024,5.9
83,0.113,0.055,0.198,0.145,0.068,6.3
84,0.164,0.082,0.27,0.171,0.136,6.6
85,0.188,0.102,0.29,0.161,0.186,6.8
86,0.183,0.099,0.293,0.123,0.216,7.1
87,0.146,0.088,0.236,0.088,0.203,7.2
88,0.099,0.058,0.215,0.058,0.222,7
89,0.035,0.033,0.033,0.033,0.033,6.6
90,0.006,0.006,0.006,0.006,0.006,6.4
91,0,0,0,0,0,6.2
92,0,0,0,0,0,5.8
93,0,0,0,0,0,5.5
94,0,0,0,0,0,5.3
95,0,0,0,0,0,5
96,0,0,0,0,0,4.7
97,0,0,0,0,0,4.4
98,0,0,0,0,0,4
99,0,0,0,0,0,3.6
100,0,0,0,0,0,3.5
101,0,0,0,0,0,3.4
102,0,0,0,0,0,3.2
103,0,0,0,0,0,3
104,0,0,0,0,0,2.9
105,0,0,0,0,0,3.1
106,0.049,0.029,0.086,0.075,0.029,4.8
107,0.126,0.065,0.213,0.159,0.079,6.3
108,0.193,0.083,0.334,0.203,0.156,7.8
109,0.228,0.097,0.395,0.192,0.231,8.8
110,0.22,0.101,0.383,0.137,0.271,9.2
111,0.184,0.086,0.351,0.086,0.292,9
112,0.114,0.063,0.264,0.063,0.272,8.2
113,0.039,0.037,0.037,0.037,0.037,7.2
114,0.007,0.007,0.007,0.007,0.007,6.9
115,0,0,0,0,0,6.6
116,0,0,0,0,0,6.4
117,0,0,0,0,0,6.2
118,0,0,0,0,0,5.9
119,0,0,0,0,0,5.7
120,0,0,0,0,0,5.4
121,0,0,0,0,0,5.2
122,0,0,0,0,0,4.9
123,0,0,0,0,0,4.6
124,0,0,0,0,0,4.1
125,0,0,0,0,0,4.4
126,0,0,0,0,0,4.4
127,0,0,0,0,0,4.3
128,0,0,0,0,0,4.2
129,0,0,0,0,0,4.2
130,0.032,0.028,0.033,0.032,0.028,4.6
131,0.085,0.069,0.095,0.086,0.071,5
132,0.125,0.095,0.149,0.121,0.111,5.3
133,0.152,0.109,0.189,0.135,0.145,5.5
134,0.161,0.111,0.213,0.124,0.172,5.6
135,0.149,0.092,0.236,0.092,0.204,5.6
136,0.102,0.061,0.215,0.061,0.221,5.5
137,0.037,0.035,0.035,0.035,0.035,5.2
138,0.004,0.004,0.004,0.004,0.004,5
139,0,0,0,0,0,4.9
140,0,0,0,0,0,4.7
141,0,0,0,0,0,4.5
142,0,0,0,0,0,4.4
143,0,0,0,0,0,4
144,0,0,0,0,0,3.9
145,0,0,0,0,0,3.5
146,0,0,0,0,0,3.8
147,0,0,0,0,0,3.7
148,0,0,0,0,0,3.5
149,0,0,0,0,0,3.5
150,0,0,0,0,0,3.5
151,0,0,0,0,0,3.5
152,0,0,0,0,0,3.5
153,0,0,0,0,0,3.5
154,0.047,0.028,0.082,0.072,0.028,4.4
155,0.128,0.075,0.197,0.152,0.086,5
156,0.189,0.108,0.282,0.192,0.158,5.4
157,0.226,0.123,0.345,0.195,0.223,5.6
158,0.221,0.125,0.34,0.154,0.255,5.8
159,0.177,0.104,0.286,0.104,0.246,5.8
160,0.108,0.063,0.227,0.063,0.233,5.6
161,0.046,0.044,0.044,0.044,0.044,5.2
162,0.01,0.01,0.01,0.01,0.01,5.1
163,0,0,0,0,0,4.9
164,0,0,0,0,0,4.8
165,0,0,0,0,0,4.6
166,0,0,0,0,0,4.4
167,0,0,0,0,0,4.4
168,0,0,0,0,0,4.2
169,0,0,0,0,0,4.1
170,0,0,0,0,0,3.9
171,0,0,0,0,0,3.9
172,0,0,0,0,0,3.9
173,0,0,0,0,0,3.8
174,0,0,0,0,0,3.8
175,0,0,0,0,0,3.8
176,0,0,0,0,0,3.8
177,0,0,0,0,0,4
178,0.06,0.023,0.134,0.114,0.023,4.3
179,0.159,0.06,0.307,0.217,0.082,4.5
180,0.218,0.096,0.372,0.229,0.176,4.8
181,0.248,0.115,0.411,0.212,0.249,5
182,0.229,0.122,0.362,0.155,0.267,6.6
183,0.172,0.101,0.278,0.101,0.239,7.5
184,0.103,0.062,0.203,0.062,0.208,7.7
185,0.043,0.041,0.041,0.041,0.041,7.2
186,0.008,0.008,0.008,0.008,0.008,6.7
187,0,0,0,0,0,6.3
188,0,0,0,0,0,5.9
189,0,0,0,0,0,5.4
190,0,0,0,0,0,5.1
191,0,0,0,0,0,4.6
192,0,0,0,0,0,4.2
193,0,0,0,0,0,3.2
194,0,0,0,0,0,2
195,0,0,0,0,0,0.8
196,0,0,0,0,0,0.2
197,0,0,0,0,0,-0.4
198,0,0,0,0,0,-1.1
199,0,0,0,0,0,-1.4
200,0,0,0,0,0,-1.9
201,0,0,0,0,0,-1.8
202,0.032,0.017,0.059,0.051,0.017,0.1
203,0.101,0.05,0.174,0.129,0.061,1.8
204,0.181,0.084,0.303,0.191,0.148,3.2
205,0.261,0.091,0.482,0.22,0.268,4.2
206,0.276,0.089,0.537,0.153,0.36,4.6
207,0.22,0.076,0.463,0.076,0.378,4.7
208,0.132,0.058,0.336,0.058,0.346,4.1
209,0.037,0.035,0.035,0.035,0.035,2.7
210,0.009,0.009,0.009,0.009,0.009,2
211,0,0,0,0,0,1.2
212,0,0,0,0,0,0.5
213,0,0,0,0,0,-0.3
214,0,0,0,0,0,-1.1
215,0,0,0,0,0,-1.9
216,0,0,0,0,0,-2.7
217,0,0,0,0,0,-3
218,0,0,0,0,0,-3.4
219,0,0,0,0,0,-3.9
220,0,0,0,0,0,-4
221,0,0,0,0,0,-4.2
222,0,0,0,0,0,-4.4
223,0,0,0,0,0,-4.5
224,0,0,0,0,0,-4.6
225,0,0,0,0,0,-4.3
