Hour,Winter (Jan),Summer (July),Spring (April),Autumn (Oct)
1,0.007910349,0.003295979,0.007910349,0.003295979
2,0.005273566,0.003295979,0.005273566,0.003295979
3,0.003955175,0.003295979,0.003955175,0.003295979
4,0.003295979,0.002636783,0.003295979,0.002636783
5,0.003295979,0.002636783,0.003295979,0.002636783
6,0.003955175,0.002966381,0.003955175,0.002966381
7,0.010547132,0.003295979,0.010547132,0.003295979
8,0.022412657,0.003955175,0.018457482,0.003955175
9,0.015820699,0.002966381,0.009228741,0.002966381
10,0.008569545,0.002307185,0.00461437,0.002307185
11,0.007251154,0.002307185,0.003955175,0.002307185
12,0.006591958,0.002307185,0.003295979,0.002307185
13,0.006591958,0.002307185,0.003295979,0.002307185
14,0.005932762,0.002307185,0.003955175,0.002307185
15,0.007251154,0.001977587,0.00461437,0.002636783
16,0.01713909,0.002307185,0.010547132,0.003295979
17,0.029004614,0.002636783,0.023731048,0.006591958
18,0.034278181,0.002966381,0.031641397,0.015820699
19,0.034278181,0.003955175,0.034278181,0.026367831
20,0.030982202,0.00461437,0.02966381,0.028345419
21,0.02966381,0.00461437,0.028345419,0.028345419
22,0.026367831,0.015820699,0.026367831,0.026367831
23,0.021753461,0.019116678,0.021753461,0.021753461
24,0.016479895,0.015161503,0.016479895,0.016479895
