Sector,Hour,WIN-WK,INT-WK,SUM-WK,WIN-WE,INT-WE,SUM-WE
Residential,1,0.0032,0.00719,0.00374,0.00431,0.00892,0.0046
Residential,2,0.0023,0.0046,0.00259,0.00302,0.00662,0.00331
Residential,3,0.0019,0.00403,0.0023,0.0023,0.00489,0.00259
Residential,4,0.0019,0.00403,0.00216,0.00201,0.00403,0.0023
Residential,5,0.0022,0.00518,0.0023,0.00201,0.00403,0.0023
Residential,6,0.0026,0.00547,0.00316,0.00173,0.00403,0.00216
Residential,7,0.0055,0.01036,0.00503,0.00201,0.00403,0.0023
Residential,8,0.006,0.01237,0.00618,0.00273,0.00748,0.00374
Residential,9,0.0059,0.01237,0.00647,0.00475,0.01237,0.00575
Residential,10,0.0052,0.01208,0.00618,0.00719,0.01525,0.00791
Residential,11,0.005,0.01151,0.00618,0.00863,0.01668,0.00863
Residential,12,0.0055,0.01237,0.00662,0.00978,0.01898,0.00949
Residential,13,0.006,0.01352,0.00719,0.00949,0.01755,0.00906
Residential,14,0.0056,0.01208,0.00618,0.00705,0.01323,0.0069
Residential,15,0.005,0.01064,0.00547,0.00575,0.01151,0.00618
Residential,16,0.0049,0.00949,0.00518,0.00532,0.01007,0.00518
Residential,17,0.0052,0.00978,0.00532,0.00475,0.00978,0.00475
Residential,18,0.0065,0.01151,0.00604,0.00633,0.01093,0.00518
Residential,19,0.0083,0.01438,0.0069,0.00762,0.01381,0.00618
Residential,20,0.0086,0.01553,0.00762,0.00791,0.01438,0.00733
Residential,21,0.0073,0.01438,0.00719,0.00676,0.01323,0.0069
Residential,22,0.0055,0.01381,0.0069,0.00575,0.01294,0.00647
Residential,23,0.0046,0.01151,0.00633,0.00503,0.01093,0.00633
Residential,24,0.0033,0.00777,0.00431,0.0036,0.00719,0.00431
