Sector,Hour,WIN-WK,INT-WK,SUM-WK,WIN-WE,INT-WE,SUM-WE
Industry,1,0.00892,0.01363,0.00604,0.00268,0.00433,0.00183
Industry,2,0.00905,0.0138,0.00573,0.00262,0.00466,0.0018
Industry,3,0.00901,0.01412,0.00579,0.00283,0.00461,0.00227
Industry,4,0.00905,0.01524,0.00655,0.00293,0.00547,0.00262
Industry,5,0.00967,0.0163,0.00663,0.00316,0.00614,0.00291
Industry,6,0.01101,0.01956,0.00755,0.00412,0.00754,0.00343
Industry,7,0.01191,0.02284,0.01025,0.00431,0.00798,0.00343
Industry,8,0.01231,0.02302,0.00918,0.00445,0.0077,0.00273
Industry,9,0.01169,0.02133,0.00863,0.00416,0.0068,0.00231
Industry,10,0.01096,0.01853,0.0072,0.00387,0.00651,0.00263
Industry,11,0.01043,0.0172,0.00749,0.00378,0.00578,0.00184
Industry,12,0.00979,0.01566,0.00582,0.00351,0.00522,0.00163
Industry,13,0.0096,0.01487,0.00492,0.00317,0.00462,0.00158
Industry,14,0.0097,0.01552,0.00517,0.00314,0.00479,0.00179
Industry,15,0.00945,0.01526,0.00491,0.00313,0.00448,0.00155
Industry,16,0.00951,0.01457,0.00518,0.00311,0.00461,0.00153
Industry,17,0.00853,0.01304,0.00405,0.00301,0.00427,0.00154
Industry,18,0.00838,0.01213,0.00426,0.00284,0.00406,0.00118
Industry,19,0.00834,0.0124,0.0043,0.00279,0.00426,0.00142
Industry,20,0.0087,0.01285,0.00425,0.00271,0.0042,0.00172
Industry,21,0.00883,0.01346,0.00479,0.00276,0.00461,0.00181
Industry,22,0.00873,0.01306,0.005,0.00256,0.004,0.00151
Industry,23,0.00868,0.01308,0.00501,0.00266,0.0039,0.00128
Industry,24,0.00868,0.01334,0.00568,0.00265,0.0043,0.00175
