Sector,Hour,WIN-WK,INT-WK,SUM-WK,WIN-WE,INT-WE,SUM-WE
Industry,1,0.01025,0.01206,0.00187,0.00369,0.00499186,0.00077099
Industry,2,0,0.01247,0.00206,0.0038,0.004710495,0.000860838
Industry,3,0.01067,0.0129,0.00228,0.00407,0.005300372,0.000993869
Industry,4,0.0114,0.01476,0.00286,0.00474,0.006350701,0.001229026
Industry,5,0.01254,0.01741,0.00356,0.00512,0.007089096,0.001393877
Industry,6,0.01567,0.02187,0.00469,0.0052,0.006758265,0.001315208
Industry,7,0.01745,0.023,0.00461,0.00529,0.007176772,0.001343689
Industry,8,0.01775,0.0237,0.00421,0.00541,0.006858662,0.00115701
Industry,9,0.01699,0.02156,0.00378,0.00503,0.006178815,0.00102834
Industry,10,0.01586,0.01973,0.00358,0.00481,0.005802606,0.001051032
Industry,11,0.01515,0.01844,0.00317,0.00486,0.00564087,0.000918577
Industry,12,0.01416,0.01699,0.00318,0.0043,0.005221926,0.000894962
Industry,13,0.01377,0.01623,0.00269,0.00401,0.004334981,0.000785236
Industry,14,0.01327,0.01493,0.00225,0.00401,0.004375459,0.000768815
Industry,15,0.01352,0.01457,0.00219,0.00406,0.004210841,0.000760235
Industry,16,0.01351,0.01417,0.00197,0.004,0.004381991,0.000746989
Industry,17,0.01278,0.014,0.00209,0.00428,0.004466668,0.000756499
Industry,18,0.01153,0.01281,0.00203,0.00423,0.004636431,0.000734024
Industry,19,0.0112,0.01293,0.00227,0.00401,0.004496487,0.000766367
Industry,20,0.01142,0.01266,0.00234,0.00396,0.004545904,0.000779202
Industry,21,0.01067,0.01235,0.00212,0.00414,0.004653434,0.000794875
Industry,22,0.00987,0.01097,0.00188,0.00381,0.004660431,0.000701017
Industry,23,0.00933,0.0105,0.00171,0.00386,0.004462447,0.000697943
Industry,24,0.01007,0.01182,0.0016,0.00397,0.004808558,0.000739836
Residential - Existing multi family houses,1,0.0072,0.006,0,0.00288,0.0024,0
Residential - Existing multi family houses,2,0.00726,0.0051,0,0.0029,0.00204,0
Residential - Existing multi family houses,3,0.00783,0.00574,0,0.00313,0.0023,0
Residential - Existing multi family houses,4,0.0105,0.01137,0.00139,0.0042,0.00455,0.00056
Residential - Existing multi family houses,5,0.01616,0.02105,0.0039,0.00646,0.00842,0.00156
Residential - Existing multi family houses,6,0.01568,0.02289,0.00425,0.00627,0.00916,0.0017
Residential - Existing multi family houses,7,0.01521,0.01978,0.00302,0.00608,0.00791,0.00121
Residential - Existing multi family houses,8,0.0154,0.01895,0.00267,0.00616,0.00758,0.00107
Residential - Existing multi family houses,9,0.01506,0.01717,0.00251,0.00602,0.00687,0.001
Residential - Existing multi family houses,10,0.01455,0.01627,0.00217,0.00582,0.00651,0.00087
Residential - Existing multi family houses,11,0.01418,0.01551,0.00203,0.00567,0.0062,0.00081
Residential - Existing multi family houses,12,0.01405,0.01514,0.00202,0.00562,0.00606,0.00081
Residential - Existing multi family houses,13,0.01405,0.01467,0.00155,0.00562,0.00587,0.00062
Residential - Existing multi family houses,14,0.01414,0.01425,0.00144,0.00566,0.0057,0.00058
Residential - Existing multi family houses,15,0.01433,0.01474,0.00127,0.00573,0.0059,0.00051
Residential - Existing multi family houses,16,0.01499,0.0157,0.0014,0.006,0.00628,0.00056
Residential - Existing multi family houses,17,0.01562,0.01701,0.00168,0.00625,0.0068,0.00067
Residential - Existing multi family houses,18,0.01594,0.01843,0.00212,0.00637,0.00737,0.00085
Residential - Existing multi family houses,19,0.01584,0.01955,0.0025,0.00634,0.00782,0.001
Residential - Existing multi family houses,20,0.01543,0.0197,0.00285,0.00617,0.00788,0.00114
Residential - Existing multi family houses,21,0.0138,0.01789,0.00264,0.00552,0.00716,0.00105
Residential - Existing multi family houses,22,0.01207,0.01414,0.00164,0.00483,0.00566,0.00066
Residential - Existing multi family houses,23,0.0083,0.00936,0.00067,0.00332,0.00374,0.00027
Residential - Existing multi family houses,24,0.00673,0.00582,0,0.00269,0.00234,0
Residential - Existing single family houses,1,0.00664,0.0043,0,0.00266,0.00172,0
Residential - Existing single family houses,2,0.00699,0.0047,0,0.0028,0.00188,0
Residential - Existing single family houses,3,0.00761,0.00612,0,0.00304,0.00245,0
Residential - Existing single family houses,4,0.00987,0.01087,0.0008,0.00395,0.00435,0.00032
Residential - Existing single family houses,5,0.01474,0.01984,0.00393,0.0059,0.00794,0.00157
Residential - Existing single family houses,6,0.01848,0.02589,0.00554,0.00739,0.01036,0.00222
Residential - Existing single family houses,7,0.01741,0.02342,0.00418,0.00697,0.00937,0.00167
Residential - Existing single family houses,8,0.01663,0.02056,0.00316,0.00665,0.00822,0.00126
Residential - Existing single family houses,9,0.01559,0.01852,0.00316,0.00624,0.00741,0.00126
Residential - Existing single family houses,10,0.01468,0.01645,0.00216,0.00587,0.00658,0.00087
Residential - Existing single family houses,11,0.01418,0.01547,0.00215,0.00567,0.00619,0.00086
Residential - Existing single family houses,12,0.01386,0.01506,0.00187,0.00554,0.00602,0.00075
Residential - Existing single family houses,13,0.01402,0.01465,0.00141,0.00561,0.00586,0.00056
Residential - Existing single family houses,14,0.01436,0.01499,0.00123,0.00575,0.006,0.00049
Residential - Existing single family houses,15,0.01493,0.016,0.00112,0.00597,0.0064,0.00045
Residential - Existing single family houses,16,0.0154,0.01702,0.00143,0.00616,0.00681,0.00057
Residential - Existing single family houses,17,0.01603,0.01858,0.00166,0.00641,0.00743,0.00066
Residential - Existing single family houses,18,0.01619,0.01985,0.00216,0.00647,0.00794,0.00086
Residential - Existing single family houses,19,0.01609,0.02042,0.00258,0.00644,0.00817,0.00103
Residential - Existing single family houses,20,0.01521,0.01939,0.00261,0.00608,0.00775,0.00104
Residential - Existing single family houses,21,0.0132,0.01598,0.0019,0.00528,0.00639,0.00076
Residential - Existing single family houses,22,0.00884,0.00885,0.00066,0.00354,0.00354,0.00026
Residential - Existing single family houses,23,0.0069,0.00525,0,0.00275,0.0021,0
Residential - Existing single family houses,24,0.0065,0.00406,0,0.00259,0.00163,0
Residential - New multi family houses,1,0.00644,0.00473,0.0002,0.00258,0.00189,0.00008
Residential - New multi family houses,2,0.00691,0.00558,0.00015,0.00277,0.00223,0.00006
Residential - New multi family houses,3,0.0082,0.00801,0.00052,0.00328,0.00321,0.00021
Residential - New multi family houses,4,0.00968,0.01112,0.00107,0.00387,0.00445,0.00043
Residential - New multi family houses,5,0.01666,0.0166,0.00177,0.00666,0.00664,0.00071
Residential - New multi family houses,6,0.01787,0.01999,0.00262,0.00715,0.008,0.00105
Residential - New multi family houses,7,0.01743,0.02162,0.00372,0.00697,0.00865,0.00149
Residential - New multi family houses,8,0.01623,0.02046,0.00301,0.00649,0.00818,0.00121
Residential - New multi family houses,9,0.0157,0.01951,0.00296,0.00628,0.0078,0.00118
Residential - New multi family houses,10,0.01519,0.0182,0.0026,0.00608,0.00728,0.00104
Residential - New multi family houses,11,0.01411,0.01647,0.00221,0.00564,0.00659,0.00088
Residential - New multi family houses,12,0.01386,0.01584,0.00211,0.00554,0.00634,0.00084
Residential - New multi family houses,13,0.01352,0.01514,0.0018,0.00541,0.00606,0.00072
Residential - New multi family houses,14,0.01361,0.01516,0.00188,0.00544,0.00606,0.00075
Residential - New multi family houses,15,0.01383,0.01533,0.00173,0.00553,0.00613,0.00069
Residential - New multi family houses,16,0.01452,0.01585,0.00175,0.00581,0.00634,0.0007
Residential - New multi family houses,17,0.01515,0.01665,0.00186,0.00606,0.00666,0.00074
Residential - New multi family houses,18,0.01562,0.01769,0.00204,0.00625,0.00707,0.00082
Residential - New multi family houses,19,0.01578,0.01911,0.00219,0.00631,0.00764,0.00088
Residential - New multi family houses,20,0.01524,0.01903,0.0022,0.0061,0.00761,0.00088
Residential - New multi family houses,21,0.01402,0.01771,0.00223,0.00561,0.00709,0.00089
Residential - New multi family houses,22,0.01053,0.01324,0.00176,0.00421,0.0053,0.0007
Residential - New multi family houses,23,0.00858,0.00947,0.00133,0.00343,0.00379,0.00053
Residential - New multi family houses,24,0.00565,0.00374,0,0.00225,0.0015,0
Residential - New single family houses,1,0.00811,0.00587,0,0.00324,0.00235,0
Residential - New single family houses,2,0.00798,0.00643,0,0.00319,0.00257,0
Residential - New single family houses,3,0.00858,0.00773,0.00012,0.00343,0.00309,0.00005
Residential - New single family houses,4,0.00871,0.00872,0.00037,0.00348,0.00349,0.00015
Residential - New single family houses,5,0.01254,0.01641,0.0028,0.00502,0.00656,0.00112
Residential - New single family houses,6,0.01675,0.02229,0.00313,0.0067,0.00891,0.00125
Residential - New single family houses,7,0.01587,0.02557,0.00493,0.00635,0.01023,0.00197
Residential - New single family houses,8,0.01537,0.0211,0.00334,0.00615,0.00844,0.00134
Residential - New single family houses,9,0.01534,0.01938,0.0031,0.00614,0.00775,0.00124
Residential - New single family houses,10,0.01502,0.01832,0.0032,0.00601,0.00733,0.00128
Residential - New single family houses,11,0.01411,0.01571,0.00239,0.00564,0.00628,0.00095
