Sector,Hour,WIN-WK,INT-WK,SUM-WK,WIN-WE,INT-WE,SUM-WE
Industry,1,0.01025,0.01206,0.00187,0.00369,0.00499186,0.00077099
Industry,2,0.01059,0.01247,0.00206,0.0038,0.004710495,0.000860838
Industry,3,0.01067,0.0129,0.00228,0.00407,0.005300372,0.000993869
Industry,4,0.0114,0.01476,0.00286,0.00474,0.006350701,0.001229026
Industry,5,0.01254,0.01741,0.00356,0.00512,0.007089096,0.001393877
Industry,6,0.01567,0.02187,0.00469,0.0052,0.006758265,0.001315208
Industry,7,0.01745,0.023,0.00461,0.00529,0.007176772,0.001343689
Industry,8,0.01775,0.0237,0.00421,0.00541,0.006858662,0.00115701
Industry,9,0.01699,0.02156,0.00378,0.00503,0.006178815,0.00102834
Industry,10,0.01586,0.01973,0.00358,0.00481,0.005802606,0.001051032
Industry,11,0.01515,0.01844,0.00317,0.00486,0.00564087,0.000918577
Industry,12,0.01416,0.01699,0.00318,0.0043,0.005221926,0.000894962
Industry,13,0.01377,0.01623,0.00269,0.00401,0.004334981,0.000785236
Industry,14,0.01327,0.01493,0.00225,0.00401,0.004375459,0.000768815
Industry,15,0.01352,0.01457,0.00219,0.00406,0.004210841,0.000760235
Industry,16,0.01351,0.01417,0.00197,0.004,0.004381991,0.000746989
Industry,17,0.01278,0.014,0.00209,0.00428,0.004466668,0.000756499
Industry,18,0.01153,0.01281,0.00203,0.00423,0.004636431,0.000734024
Industry,19,0.0112,0.01293,0.00227,0.00401,0.004496487,0.000766367
Industry,20,0.01142,0.01266,0.00234,0.00396,0.004545904,0.000779202
Industry,21,0.01067,0.01235,0.00212,0.00414,0.004653434,0.000794875
Industry,22,0.00987,0.01097,0.00188,0.00381,0.004660431,0.000701017
Industry,23,0.00933,0.0105,0.00171,0.00386,0.004462447,0.000697943
Industry,24,0.01007,0.01182,0.0016,0.00397,0.004808558,0.000739836
Residential,1,0.00031,0.00078,0.0005,0.00014,0.00036,0.00023
Residential,2,0.00003,0.00037,0.00017,0.00001,0.00017,0.00008
Residential,3,0.00044,0.00079,0.00061,0.00021,0.00036,0.00028
Residential,4,0.00028,0.00064,0.00023,0.00013,0.0003,0.00011
Residential,5,0.00031,0.00083,0.0001,0.00015,0.00038,0.00005
Residential,6,0.01116,0.00729,0.0003,0.00518,0.00338,0.00014
Residential,7,0.0198,0.02185,0.00747,0.0092,0.01015,0.00347
Residential,8,0.01811,0.03505,0.01227,0.00841,0.01628,0.0057
Residential,9,0.0122,0.0336,0.0159,0.00567,0.01561,0.00739
Residential,10,0.0071,0.02368,0.00993,0.0033,0.011,0.00461
Residential,11,0.00756,0.01292,0.00546,0.00351,0.006,0.00254
Residential,12,0.00871,0.01347,0.00689,0.00404,0.00626,0.0032
Residential,13,0.0095,0.01483,0.00463,0.00441,0.00689,0.00215
Residential,14,0.00591,0.0144,0.00528,0.00275,0.00669,0.00245
Residential,15,0.00542,0.01312,0.00494,0.00252,0.00609,0.0023
Residential,16,0.00603,0.01574,0.00545,0.0028,0.00731,0.00253
Residential,17,0.00789,0.01683,0.00473,0.00366,0.00782,0.0022
Residential,18,0.00587,0.01729,0.00791,0.00273,0.00803,0.00367
Residential,19,0.00946,0.01957,0.0047,0.00439,0.00909,0.00218
Residential,20,0.01942,0.03447,0.00614,0.00902,0.01601,0.00285
Residential,21,0.01041,0.02337,0.016,0.00483,0.01085,0.00743
Residential,22,0.00736,0.01434,0.01034,0.00342,0.00666,0.0048
Residential,23,0.00947,0.01532,0.00439,0.0044,0.00711,0.00204
Residential,24,0.00041,0.00831,0.00648,0.00021,0.00386,0.00301
