Metric,Value,Unit
total_cost,7604.730072050355,CHF
average_heat_value,0.05009997057779059,CHF/kWh
average_elec_value,0.31290365296803657,CHF/kWh
weighted_avg_heat_value,0.07919560282853964,CHF/kWh
weighted_avg_elec_value,0.3184618963307747,CHF/kWh
total_expenses,7604.730072050281,CHF
total_revenue,0.0,CHF
electricity_expenses,7604.730072050281,CHF
electricity_revenue,0.0,CHF
hydrogen_expenses,0.0,CHF
hydrogen_revenue,0.0,CHF
expenses_h2_system,0.0,CHF
revenue_h2_system,0.0,CHF
expenses_hp_system,2827.8016270886155,CHF
revenue_pv_system,0.0,CHF
heat_cost_cons1,942.8276775580395,CHF
heat_cost_cons2,942.8276775580397,CHF
heat_cost_cons3,942.8276775580396,CHF
heat_cost_cons_total,2828.4830326741185,CHF
electricity_end_expenses,4776.928444961621,CHF
electricity_f_heat_expenses,2827.8016270886155,CHF
total_heat_consumption,35715.15250408353,kWh
total_heat_demand,35715.15250408353,kWh
total_heat_supply,35715.15250408354,kWh
total_heat_solar_gain,5821.3584,kWh
total_heat_waste,0.0,kWh
total_heat_waste_el,0.0,kWh
total_heat_waste_fc,0.0,kWh
total_heat_h2_used,0.0,kWh
total_heat_el_used,0.0,kWh
total_heat_fc_used,0.0,kWh
total_heat_el_gen,0.0,kWh
total_heat_fc_gen,0.0,kWh
total_heat_hp_used,35715.15250408354,kWh
total_heat_ts_used,0.0,kWh
total_heat_ts_input,0.0,kWh
total_energy_ts_stored,0.0,kWh
total_electricity_for_heat_demand,9276.662988073645,kWh
total_electricity_end_demand,15000.0,kWh
total_electricity_total_demand,24276.662988073644,kWh
total_electricity_generated,0.0,kWh
total_electricity_imported,24276.662988073644,kWh
total_electricity_exported,0.0,kWh
total_electricity_h2_demand,0.0,kWh
total_electricity_el_demand,0.0,kWh
total_electricity_co_demand,0.0,kWh
total_electricity_hp_demand,9276.662988073645,kWh
total_electricity_fc_produced,0.0,kWh
total_electricity_pv_produced,0.0,kWh
total_electricity_bat_charged,0.0,kWh
total_electricity_bat_discharged,0.0,kWh
total_energy_bat_stored,0.0,kWh
total_net_electricity_imported,24276.662988073644,kWh
total_hydrogen_used,0.0,kg
total_hydrogen_produced,0.0,kg
total_hydrogen_imported,0.0,kg
total_hydrogen_exported,0.0,kg
avg_hydrogen_storage,7.207266127991589,kg
avg_temp_cons1,21.273705537074495,°C
avg_temp_cons2,21.27357164555301,°C
avg_temp_cons3,21.273532476574648,°C
max_temp_cons1,28.83502186319888,°C
max_temp_cons2,28.83502186319888,°C
max_temp_cons3,28.83502186319888,°C
avg_rate_elec_f_heat_demand,0.16172951669676475,kWh/h
avg_rate_elec_end_demand,0.25211857672986404,kWh/h
avg_rate_elec_total_demand,0.3193200882628844,kWh/h
avg_rate_elec_generated,0.0,kWh/h
avg_rate_elec_imported,0.3193200882628844,kWh/h
avg_rate_elec_exported,0.0,kWh/h
avg_rate_heat_demand,0.6226586392825443,kWh/h
avg_rate_heat_supply,0.6226586392825443,kWh/h
avg_rate_temp_cons1,0.028375434896164172,°C/h
avg_rate_temp_cons2,0.028375434896164172,°C/h
avg_rate_temp_cons3,0.0284414444305028,°C/h
avg_rate_elec_f_heat_demand_ramp_up,0.21086774884671539,kWh/h
avg_rate_elec_end_demand_ramp_up,0.2769899571936677,kWh/h
avg_rate_elec_total_demand_ramp_up,0.3570672757407362,kWh/h
avg_rate_elec_generated_ramp_up,,kWh/h
avg_rate_elec_imported_ramp_up,0.3570672757407362,kWh/h
avg_rate_elec_exported_ramp_up,,kWh/h
avg_rate_heat_demand_ramp_up,0.8118408330598542,kWh/h
avg_rate_heat_supply_ramp_up,0.8118408330598542,kWh/h
avg_rate_temp_cons1_ramp_up,0.06352730309059257,°C/h
avg_rate_temp_cons2_ramp_up,0.06365748199036837,°C/h
avg_rate_temp_cons3_ramp_up,0.06390381046978054,°C/h
max_rate_elec_f_heat_demand,2.6790559819764863,kWh/h
max_rate_elec_end_demand,1.0796716656950898,kWh/h
max_rate_elec_total_demand,3.181161338168018,kWh/h
max_rate_elec_generated,0.0,kWh/h
max_rate_elec_imported,3.181161338168018,kWh/h
max_rate_elec_exported,0.0,kWh/h
max_rate_heat_demand,10.314365530609473,kWh/h
max_rate_heat_supply,10.314365530609473,kWh/h
max_rate_temp_cons1,0.20136665562241873,°C/h
max_rate_temp_cons2,0.20136665562241873,°C/h
max_rate_temp_cons3,0.20136665562241873,°C/h
