Metric,Value
total_electricity_imported-(ELECTRICITY),18418.342415318548
total_hydrogen_imported-(HYDROGEN),0.0
total_solar_energy-(ELECTRICITY),6185.193300000001
total_heat_demand-(HEAT),35187.92807033085
total_electricity_end_demand-(HEAT),15000.0
total_hydrogen_exported-(HYDROGEN),10.0
total_eletricity_exported-(ELECTRICITY),10.800590166216121
total_heat_wasted-(ELECTRICITY),6.127032287611636
pv_input-(ELECTRICITY),6185.193300000001
pv_output-(ELECTRICITY),6185.193300000001
hp_input-(ELECTRICITY),9137.522061087955
hp_output-(HEAT),35179.45993518863
electrolyser_input-(ELECTRICITY),31.23292157806925
electrolyser_output-(HYDROGEN),0.5415622131750625
electrolyser_output-(HEAT),9.4006018600232
fuel_cell_input-(HYDROGEN),0.7670869052890581
fuel_cell_output-(ELECTRICITY),16.5453662413796
fuel_cell_output-(HEAT),12.993964935658823
battery_input-(ELECTRICITY),5262.464140079461
battery_output-(ELECTRICITY),4822.15546536439
thermal_storage_input-(HEAT),19.03030282297178
thermal_storage_output-(HEAT),11.230903457124203
