Metric,Value,Unit
total_cost,5039.388745252276,CHF
average_heat_value,0.05855136590226076,CHF/kWh
average_elec_value,0.2838976222881998,CHF/kWh
weighted_avg_heat_value,0.07762156112800336,CHF/kWh
weighted_avg_elec_value,0.2899816720482923,CHF/kWh
total_expenses,5139.564542138249,CHF
total_revenue,100.17579688589943,CHF
electricity_expenses,5139.564542138249,CHF
electricity_revenue,0.17579688589943332,CHF
hydrogen_expenses,0.0,CHF
hydrogen_revenue,100.0,CHF
expenses_h2_system,4.8853622855746215,CHF
revenue_h2_system,104.31275972746562,CHF
expenses_hp_system,2616.4261028307665,CHF
revenue_pv_system,1687.9116004960483,CHF
heat_cost_cons1,910.4473032263262,CHF
heat_cost_cons2,910.4473032263268,CHF
heat_cost_cons3,910.4473032263255,CHF
heat_cost_cons_total,2731.3419096789785,CHF
electricity_end_expenses,4349.7250807243845,CHF
electricity_f_heat_expenses,2621.3114651163414,CHF
total_heat_consumption,35187.92807033085,kWh
total_heat_demand,35187.92807033085,kWh
total_heat_supply,35195.7274696967,kWh
total_heat_solar_gain,5821.3584,kWh
total_heat_waste,6.127032287611636,kWh
total_heat_waste_el,0.0,kWh
total_heat_waste_fc,6.127032287611636,kWh
total_heat_h2_used,16.267534508070387,kWh
total_heat_el_used,9.4006018600232,kWh
total_heat_fc_used,6.866932648047189,kWh
total_heat_el_gen,9.4006018600232,kWh
total_heat_fc_gen,12.993964935658823,kWh
total_heat_hp_used,35179.45993518863,kWh
total_heat_ts_used,11.230903457124203,kWh
total_heat_ts_input,19.03030282297178,kWh
total_energy_ts_stored,1013.6163645919926,kWh
total_electricity_for_heat_demand,9168.971816678642,kWh
total_electricity_end_demand,15000.0,kWh
total_electricity_total_demand,24168.971816678644,kWh
total_electricity_generated,6201.73866624138,kWh
total_electricity_imported,18418.342415318548,kWh
total_electricity_exported,10.800590166216121,kWh
total_electricity_h2_demand,31.449755590688596,kWh
total_electricity_el_demand,31.23292157806925,kWh
total_electricity_co_demand,0.21683401261934285,kWh
total_electricity_hp_demand,9137.522061087955,kWh
total_electricity_fc_produced,16.5453662413796,kWh
total_electricity_pv_produced,6185.193300000001,kWh
total_electricity_bat_charged,5262.464140079461,kWh
total_electricity_bat_discharged,4822.15546536439,kWh
total_energy_bat_stored,67976.97170687276,kWh
total_net_electricity_imported,18407.541825152333,kWh
total_hydrogen_used,0.7670869052890581,kg
total_hydrogen_produced,0.5415622131750625,kg
total_hydrogen_imported,0.0,kg
total_hydrogen_exported,10.0,kg
avg_hydrogen_storage,7.3413452687498575,kg
avg_temp_cons1,21.147132982716364,°C
avg_temp_cons2,21.185047007771008,°C
avg_temp_cons3,21.21824221130056,°C
max_temp_cons1,28.832479801501982,°C
max_temp_cons2,28.832479801501982,°C
max_temp_cons3,28.832479801501982,°C
avg_rate_elec_f_heat_demand,0.19918069141637862,kWh/h
avg_rate_elec_end_demand,0.25211857672986404,kWh/h
avg_rate_elec_total_demand,0.3567791586748066,kWh/h
avg_rate_elec_generated,0.20399766352542914,kWh/h
avg_rate_elec_imported,0.6824997846072507,kWh/h
avg_rate_elec_exported,0.0012329440829013838,kWh/h
avg_rate_heat_demand,0.7531312579639602,kWh/h
avg_rate_heat_supply,0.7554693555095879,kWh/h
avg_rate_temp_cons1,0.07349216630573187,°C/h
avg_rate_temp_cons2,0.08015720528706569,°C/h
avg_rate_temp_cons3,0.08020479313916493,°C/h
avg_rate_elec_f_heat_demand_ramp_up,0.3622971048188282,kWh/h
avg_rate_elec_end_demand_ramp_up,0.2769899571936677,kWh/h
avg_rate_elec_total_demand_ramp_up,0.3794730027208534,kWh/h
avg_rate_elec_generated_ramp_up,0.40525091191378554,kWh/h
avg_rate_elec_imported_ramp_up,1.3301539541052105,kWh/h
avg_rate_elec_exported_ramp_up,10.800590166216121,kWh/h
avg_rate_heat_demand_ramp_up,1.3799715690700163,kWh/h
avg_rate_heat_supply_ramp_up,1.3718722127412915,kWh/h
avg_rate_temp_cons1_ramp_up,0.13868758149615293,°C/h
avg_rate_temp_cons2_ramp_up,0.15177377837628966,°C/h
avg_rate_temp_cons3_ramp_up,0.14223770579014317,°C/h
max_rate_elec_f_heat_demand,3.896103896103896,kWh/h
max_rate_elec_end_demand,1.0796716656950898,kWh/h
max_rate_elec_total_demand,4.270369748804999,kWh/h
max_rate_elec_generated,5.0,kWh/h
max_rate_elec_imported,13.469779582588874,kWh/h
max_rate_elec_exported,10.800590166216121,kWh/h
max_rate_heat_demand,15.0,kWh/h
max_rate_heat_supply,15.0,kWh/h
max_rate_temp_cons1,0.9097818384982972,°C/h
max_rate_temp_cons2,0.9025421952211232,°C/h
max_rate_temp_cons3,0.8858702208173774,°C/h
