Metric,Value
total_electricity_imported-(ELECTRICITY),4458.1464942675575
total_hydrogen_imported-(HYDROGEN),563.7164778674039
total_solar_energy-(ELECTRICITY),6185.193300000001
total_heat_demand-(HEAT),34822.69219037515
total_electricity_end_demand-(HEAT),15000.0
total_hydrogen_exported-(HYDROGEN),10.0
total_eletricity_exported-(ELECTRICITY),39.42888713122132
total_heat_wasted-(ELECTRICITY),6.127032287611636
pv_input-(ELECTRICITY),6185.193300000001
pv_output-(ELECTRICITY),6185.193300000001
hp_input-(ELECTRICITY),7156.000829690981
hp_output-(HEAT),27550.603194310275
electrolyser_input-(ELECTRICITY),0.0
electrolyser_output-(HYDROGEN),0.0
electrolyser_output-(HEAT),0.0
fuel_cell_input-(HYDROGEN),496.27315739416827
fuel_cell_output-(ELECTRICITY),11743.416742097854
fuel_cell_output-(HEAT),7419.258376270762
battery_input-(ELECTRICITY),2211.1860202733246
battery_output-(ELECTRICITY),2019.859200730116
thermal_storage_input-(HEAT),182.5845753408178
thermal_storage_output-(HEAT),55.68859428354844
