Metric,Value,Unit
total_cost,4543.098184071248,CHF
average_heat_value,0.0492999284297952,CHF/kWh
average_elec_value,0.26282136390887056,CHF/kWh
weighted_avg_heat_value,0.0708226542055827,CHF/kWh
weighted_avg_elec_value,0.2657828297839194,CHF/kWh
total_expenses,4607.39752382923,CHF
total_revenue,64.29933975800243,CHF
electricity_expenses,1225.098656624727,CHF
electricity_revenue,4.299339758002429,CHF
hydrogen_expenses,3382.298867204503,CHF
hydrogen_revenue,60.0,CHF
expenses_h2_system,3382.298867204503,CHF
revenue_h2_system,3265.784076621828,CHF
expenses_hp_system,1962.2775815409404,CHF
revenue_pv_system,1520.0259001421473,CHF
heat_cost_cons1,822.0784958354619,CHF
heat_cost_cons2,822.0784958354618,CHF
heat_cost_cons3,822.0784958354611,CHF
heat_cost_cons_total,2466.2354875063847,CHF
electricity_end_expenses,3986.742446758791,CHF
electricity_f_heat_expenses,1962.2775815409404,CHF
total_heat_consumption,34822.69219037515,kWh
total_heat_demand,34822.69219037515,kWh
total_heat_supply,34963.73453829343,kWh
total_heat_solar_gain,5821.3584,kWh
total_heat_waste,6.127032287611636,kWh
total_heat_waste_el,0.0,kWh
total_heat_waste_fc,6.127032287611636,kWh
total_heat_h2_used,7413.13134398315,kWh
total_heat_el_used,0.0,kWh
total_heat_fc_used,7413.13134398315,kWh
total_heat_el_gen,0.0,kWh
total_heat_fc_gen,7419.258376270762,kWh
total_heat_hp_used,27550.603194310275,kWh
total_heat_ts_used,55.68859428354844,kWh
total_heat_ts_input,182.5845753408178,kWh
total_energy_ts_stored,11306.96219185294,kWh
total_electricity_for_heat_demand,7156.000829690981,kWh
total_electricity_end_demand,15000.0,kWh
total_electricity_total_demand,22156.00082969098,kWh
total_electricity_generated,17928.610042097855,kWh
total_electricity_imported,4458.1464942675575,kWh
total_electricity_exported,39.42888713122132,kWh
total_electricity_h2_demand,0.0,kWh
total_electricity_el_demand,0.0,kWh
total_electricity_co_demand,0.0,kWh
total_electricity_hp_demand,7156.000829690981,kWh
total_electricity_fc_produced,11743.416742097854,kWh
total_electricity_pv_produced,6185.193300000001,kWh
total_electricity_bat_charged,2211.1860202733246,kWh
total_electricity_bat_discharged,2019.859200730116,kWh
total_energy_bat_stored,49146.62722565772,kWh
total_net_electricity_imported,4418.7176071363365,kWh
total_hydrogen_used,496.27315739416827,kg
total_hydrogen_produced,0.0,kg
total_hydrogen_imported,563.7164778674039,kg
total_hydrogen_exported,10.0,kg
avg_hydrogen_storage,0.379376579109507,kg
avg_temp_cons1,21.120128195428162,°C
avg_temp_cons2,21.099658082135406,°C
avg_temp_cons3,21.097151800051762,°C
max_temp_cons1,28.832479801501982,°C
max_temp_cons2,28.832479801501982,°C
max_temp_cons3,28.832479801501982,°C
avg_rate_elec_f_heat_demand,0.18350693241395066,kWh/h
avg_rate_elec_end_demand,0.25211857672986404,kWh/h
avg_rate_elec_total_demand,0.3130877874436211,kWh/h
avg_rate_elec_generated,0.23494156079274528,kWh/h
avg_rate_elec_imported,0.21513451920520793,kWh/h
avg_rate_elec_exported,0.005677660627561025,kWh/h
avg_rate_heat_demand,0.7219838582818586,kWh/h
avg_rate_heat_supply,0.7317404197370526,kWh/h
avg_rate_temp_cons1,0.04685779994357021,°C/h
avg_rate_temp_cons2,0.04579737825499774,°C/h
avg_rate_temp_cons3,0.044885248051431674,°C/h
avg_rate_elec_f_heat_demand_ramp_up,0.30878231424245256,kWh/h
avg_rate_elec_end_demand_ramp_up,0.2769899571936677,kWh/h
avg_rate_elec_total_demand_ramp_up,0.35108295168021564,kWh/h
avg_rate_elec_generated_ramp_up,0.4213670855068333,kWh/h
avg_rate_elec_imported_ramp_up,0.7448926435721825,kWh/h
avg_rate_elec_exported_ramp_up,3.026844863182535,kWh/h
avg_rate_heat_demand_ramp_up,1.1183962147183835,kWh/h
avg_rate_heat_supply_ramp_up,1.0881152961897194,kWh/h
avg_rate_temp_cons1_ramp_up,0.08506553951327668,°C/h
avg_rate_temp_cons2_ramp_up,0.08340691077694146,°C/h
avg_rate_temp_cons3_ramp_up,0.08190666099172778,°C/h
max_rate_elec_f_heat_demand,3.8953261398971764,kWh/h
max_rate_elec_end_demand,1.0796716656950898,kWh/h
max_rate_elec_total_demand,3.9984262840947618,kWh/h
max_rate_elec_generated,3.2397097549805354,kWh/h
max_rate_elec_imported,11.437545872859172,kWh/h
max_rate_elec_exported,10.800590166216121,kWh/h
max_rate_heat_demand,14.625586156551725,kWh/h
max_rate_heat_supply,14.625586156551721,kWh/h
max_rate_temp_cons1,0.7449132282741218,°C/h
max_rate_temp_cons2,0.7714036383941938,°C/h
max_rate_temp_cons3,0.8212542871602473,°C/h
