Metric,Value,Unit
total_cost,990.0419758158969,CHF
average_heat_value,0.018301135793329534,CHF/kWh
average_elec_value,0.11967303608468603,CHF/kWh
weighted_avg_heat_value,0.030734056994533316,CHF/kWh
weighted_avg_elec_value,0.11962927784778012,CHF/kWh
total_expenses,3187.2099956723414,CHF
total_revenue,2197.1680198564054,CHF
electricity_expenses,0.0,CHF
electricity_revenue,2177.1680198564054,CHF
hydrogen_expenses,3187.2099956723414,CHF
hydrogen_revenue,20.0,CHF
expenses_h2_system,3187.2099956723414,CHF
revenue_h2_system,3594.0286705150756,CHF
expenses_hp_system,397.7320511560231,CHF
revenue_pv_system,687.4857517152693,CHF
heat_cost_cons1,366.59653953629925,CHF
heat_cost_cons2,366.5965395362993,CHF
heat_cost_cons3,366.5965395362997,CHF
heat_cost_cons_total,1099.7896186088983,CHF
electricity_end_expenses,1794.4391677167018,CHF
electricity_f_heat_expenses,397.7320511560231,CHF
total_heat_consumption,35784.06908025582,kWh
total_heat_demand,35784.06908025582,kWh
total_heat_supply,38214.89565328582,kWh
total_heat_solar_gain,5821.3584,kWh
total_heat_waste,6.127032287611636,kWh
total_heat_waste_el,0.0,kWh
total_heat_waste_fc,6.127032287611636,kWh
total_heat_h2_used,25988.730557305447,kWh
total_heat_el_used,0.0,kWh
total_heat_fc_used,25988.730557305447,kWh
total_heat_el_gen,0.0,kWh
total_heat_fc_gen,25994.857589593055,kWh
total_heat_hp_used,12226.165095980377,kWh
total_heat_ts_used,5267.36682693917,kWh
total_heat_ts_input,6810.746557698342,kWh
total_energy_ts_stored,42657.4099874629,kWh
total_electricity_for_heat_demand,3175.6272976572413,kWh
total_electricity_end_demand,15000.0,kWh
total_electricity_total_demand,18175.62729765724,kWh
total_electricity_generated,34077.312369842424,kWh
total_electricity_imported,0.0,kWh
total_electricity_exported,15117.779688717097,kWh
total_electricity_h2_demand,0.0,kWh
total_electricity_el_demand,0.0,kWh
total_electricity_co_demand,0.0,kWh
total_electricity_hp_demand,3175.6272976572413,kWh
total_electricity_fc_produced,27892.119069842425,kWh
total_electricity_pv_produced,6185.193300000001,kWh
total_electricity_bat_charged,9344.037342465039,kWh
total_electricity_bat_discharged,8560.13195899695,kWh
total_energy_bat_stored,113504.30520608001,kWh
total_net_electricity_imported,-15117.779688717097,kWh
total_hydrogen_used,1402.414392357557,kg
total_hydrogen_produced,0.0,kg
total_hydrogen_imported,1593.6049978361568,kg
total_hydrogen_exported,10.0,kg
avg_hydrogen_storage,13.803639793558382,kg
avg_temp_cons1,21.423251922118798,°C
avg_temp_cons2,21.26275808491546,°C
avg_temp_cons3,21.245506904294743,°C
max_temp_cons1,28.832479801501982,°C
max_temp_cons2,28.832479801501982,°C
max_temp_cons3,28.832479801501982,°C
avg_rate_elec_f_heat_demand,0.1662192249924148,kWh/h
avg_rate_elec_end_demand,0.25211857672986404,kWh/h
avg_rate_elec_total_demand,0.3381629084157174,kWh/h
avg_rate_elec_generated,0.26597007550743107,kWh/h
avg_rate_elec_imported,0.0,kWh/h
avg_rate_elec_exported,1.1724922170435892,kWh/h
avg_rate_heat_demand,0.7722628780276622,kWh/h
avg_rate_heat_supply,0.7399942267566115,kWh/h
avg_rate_temp_cons1,0.06113534083150678,°C/h
avg_rate_temp_cons2,0.06841537148643448,°C/h
avg_rate_temp_cons3,0.07057039942768932,°C/h
avg_rate_elec_f_heat_demand_ramp_up,0.4516378445823677,kWh/h
avg_rate_elec_end_demand_ramp_up,0.2769899571936677,kWh/h
avg_rate_elec_total_demand_ramp_up,0.36716483818398626,kWh/h
avg_rate_elec_generated_ramp_up,0.45250922637705143,kWh/h
avg_rate_elec_imported_ramp_up,,kWh/h
avg_rate_elec_exported_ramp_up,2.7374420690809527,kWh/h
avg_rate_heat_demand_ramp_up,1.518925043951942,kWh/h
avg_rate_heat_supply_ramp_up,1.4345512271024308,kWh/h
avg_rate_temp_cons1_ramp_up,0.09158858860549818,°C/h
avg_rate_temp_cons2_ramp_up,0.1048521880219898,°C/h
avg_rate_temp_cons3_ramp_up,0.10421406550212567,°C/h
max_rate_elec_f_heat_demand,3.896103896103896,kWh/h
max_rate_elec_end_demand,1.0796716656950898,kWh/h
max_rate_elec_total_demand,3.987587774961643,kWh/h
max_rate_elec_generated,2.4298967483398224,kWh/h
max_rate_elec_imported,0.0,kWh/h
max_rate_elec_exported,11.64746528311869,kWh/h
max_rate_heat_demand,15.425330076107128,kWh/h
max_rate_heat_supply,15.425330076107132,kWh/h
max_rate_temp_cons1,0.8657954350786525,°C/h
max_rate_temp_cons2,1.0576204279829113,°C/h
max_rate_temp_cons3,1.1861764910557788,°C/h
