Metric,Value,Unit
total_cost,6229.975099858188,CHF
average_heat_value,0.04769093683656811,CHF/kWh
average_elec_value,0.2827207976957855,CHF/kWh
total_expenses,6290.02882224411,CHF
total_revenue,60.053722385899434,CHF
electricity_expenses,1852.7925199052993,CHF
electricity_revenue,0.05372238589943336,CHF
hydrogen_expenses,4437.236302338812,CHF
hydrogen_revenue,60.0,CHF
expenses_h2_system,4437.236302338812,CHF
revenue_h2_system,4414.28357761569,CHF
expenses_hp_system,1888.66589735682,CHF
revenue_pv_system,0.0,CHF
heat_cost_cons1,835.2415810366933,CHF
heat_cost_cons2,835.2415810366925,CHF
heat_cost_cons3,835.2415810366927,CHF
heat_cost_cons_total,2505.7247431100786,CHF
electricity_end_expenses,4318.3564777783195,CHF
electricity_f_heat_expenses,1888.66589735682,CHF
total_heat_consumption,35423.691988177336,kWh
total_heat_demand,35423.691988177336,kWh
total_heat_supply,36127.031417150334,kWh
total_heat_solar_gain,5821.3584,kWh
total_heat_waste,6.127032287611636,kWh
total_heat_waste_el,0.0,kWh
total_heat_waste_fc,6.127032287611636,kWh
total_heat_h2_used,10073.026305182651,kWh
total_heat_el_used,0.0,kWh
total_heat_fc_used,10073.026305182651,kWh
total_heat_el_gen,0.0,kWh
total_heat_fc_gen,10079.153337470263,kWh
total_heat_hp_used,26054.005111967683,kWh
total_heat_ts_used,0.0,kWh
total_heat_ts_input,0.0,kWh
total_energy_ts_stored,0.0,kWh
total_electricity_for_heat_demand,6767.2740550565395,kWh
total_electricity_end_demand,15000.0,kWh
total_electricity_total_demand,21767.27405505654,kWh
total_electricity_generated,15038.57842317736,kWh
total_electricity_imported,6731.996222045398,kWh
total_electricity_exported,3.300590166216124,kWh
total_electricity_h2_demand,0.0,kWh
total_electricity_el_demand,0.0,kWh
total_electricity_co_demand,0.0,kWh
total_electricity_hp_demand,6767.2740550565395,kWh
total_electricity_fc_produced,15038.57842317736,kWh
total_electricity_pv_produced,0.0,kWh
total_electricity_bat_charged,0.0,kWh
total_electricity_bat_discharged,0.0,kWh
total_energy_bat_stored,0.0,kWh
total_net_electricity_imported,6728.695631879182,kWh
total_hydrogen_used,650.9698861738914,kg
total_hydrogen_produced,0.0,kg
total_hydrogen_imported,739.5393837231272,kg
total_hydrogen_exported,10.0,kg
avg_hydrogen_storage,0.2995108131304631,kg
avg_temp_cons1,21.31574934492233,°C
avg_temp_cons2,21.200301120227042,°C
avg_temp_cons3,21.187871881989434,°C
max_temp_cons1,28.832479801501982,°C
max_temp_cons2,28.832479801501982,°C
max_temp_cons3,28.832479801501982,°C
avg_rate_elec_f_heat_demand,0.15923447250015915,kWh/h
avg_rate_elec_end_demand,0.25211857672986404,kWh/h
avg_rate_elec_total_demand,0.28185521675899705,kWh/h
avg_rate_elec_generated,0.16277322689612445,kWh/h
avg_rate_elec_imported,0.25617321779932684,kWh/h
avg_rate_elec_exported,0.0003767796993397402,kWh/h
avg_rate_heat_demand,0.6590412453358986,kWh/h
avg_rate_heat_supply,0.6752011800964628,kWh/h
avg_rate_temp_cons1,0.05372294381274705,°C/h
avg_rate_temp_cons2,0.051364299581002706,°C/h
avg_rate_temp_cons3,0.048843650556429925,°C/h
avg_rate_elec_f_heat_demand_ramp_up,0.2607278465610082,kWh/h
avg_rate_elec_end_demand_ramp_up,0.2769899571936677,kWh/h
avg_rate_elec_total_demand_ramp_up,0.3369392722008047,kWh/h
avg_rate_elec_generated_ramp_up,0.38459043146835686,kWh/h
avg_rate_elec_imported_ramp_up,0.5343041399814532,kWh/h
avg_rate_elec_exported_ramp_up,3.300590166216124,kWh/h
avg_rate_heat_demand_ramp_up,0.8146506792293914,kWh/h
avg_rate_heat_supply_ramp_up,0.7566755042888959,kWh/h
avg_rate_temp_cons1_ramp_up,0.09276912164083714,°C/h
avg_rate_temp_cons2_ramp_up,0.08941871789160345,°C/h
avg_rate_temp_cons3_ramp_up,0.08531295204057886,°C/h
max_rate_elec_f_heat_demand,3.8276987315519073,kWh/h
max_rate_elec_end_demand,1.0796716656950898,kWh/h
max_rate_elec_total_demand,2.9585474561260954,kWh/h
max_rate_elec_generated,3.2397097549805354,kWh/h
max_rate_elec_imported,5.458547456126094,kWh/h
max_rate_elec_exported,3.300590166216124,kWh/h
max_rate_heat_demand,14.397808492216582,kWh/h
max_rate_heat_supply,14.397808492216582,kWh/h
max_rate_temp_cons1,0.904256204249144,°C/h
max_rate_temp_cons2,0.8884976685590189,°C/h
max_rate_temp_cons3,0.9036448830618333,°C/h
