Metric,Value,Unit
total_cost,1844.0426648543216,CHF
average_heat_value,0.017428957532271312,CHF/kWh
average_elec_value,0.11807611862737895,CHF/kWh
total_expenses,3082.3739838190418,CHF
total_revenue,1238.331318964723,CHF
electricity_expenses,0.0,CHF
electricity_revenue,1218.331318964723,CHF
hydrogen_expenses,3082.3739838190418,CHF
hydrogen_revenue,20.0,CHF
expenses_h2_system,3082.3739838190418,CHF
revenue_h2_system,3464.3543582712596,CHF
expenses_hp_system,413.0152045465518,CHF
revenue_pv_system,0.0,CHF
heat_cost_cons1,347.0604351901871,CHF
heat_cost_cons2,347.0604351901873,CHF
heat_cost_cons3,347.06043519018715,CHF
heat_cost_cons_total,1041.1813055705616,CHF
electricity_end_expenses,1813.0078347600024,CHF
electricity_f_heat_expenses,413.0152045465518,CHF
total_heat_consumption,36364.64527758687,kWh
total_heat_demand,36364.64527758687,kWh
total_heat_supply,38609.61563134462,kWh
total_heat_solar_gain,5821.3584,kWh
total_heat_waste,6.127032287611636,kWh
total_heat_waste_el,0.0,kWh
total_heat_waste_fc,6.127032287611636,kWh
total_heat_h2_used,24884.017289806692,kWh
total_heat_el_used,0.0,kWh
total_heat_fc_used,24884.017289806692,kWh
total_heat_el_gen,0.0,kWh
total_heat_fc_gen,24890.144322094304,kWh
total_heat_hp_used,13725.598341537927,kWh
total_heat_ts_used,0.0,kWh
total_heat_ts_input,0.0,kWh
total_energy_ts_stored,0.0,kWh
total_electricity_for_heat_demand,3565.0904783215396,kWh
total_electricity_end_demand,15000.0,kWh
total_electricity_total_demand,18565.090478321537,kWh
total_electricity_generated,27237.860221435898,kWh
total_electricity_imported,0.0,kWh
total_electricity_exported,8672.76974311436,kWh
total_electricity_h2_demand,0.0,kWh
total_electricity_el_demand,0.0,kWh
total_electricity_co_demand,0.0,kWh
total_electricity_hp_demand,3565.0904783215396,kWh
total_electricity_fc_produced,27237.860221435898,kWh
total_electricity_pv_produced,0.0,kWh
total_electricity_bat_charged,0.0,kWh
total_electricity_bat_discharged,0.0,kWh
total_energy_bat_stored,0.0,kWh
total_net_electricity_imported,-8672.76974311436,kWh
total_hydrogen_used,1356.2947243510125,kg
total_hydrogen_produced,0.0,kg
total_hydrogen_imported,1541.186991909489,kg
total_hydrogen_exported,10.0,kg
avg_hydrogen_storage,0.7742126346368584,kg
avg_temp_cons1,21.573546723821778,°C
avg_temp_cons2,21.368696272698013,°C
avg_temp_cons3,21.36320200138312,°C
max_temp_cons1,28.832479801501982,°C
max_temp_cons2,28.832479801501982,°C
max_temp_cons3,28.832479801501982,°C
avg_rate_elec_f_heat_demand,0.19151806273213193,kWh/h
avg_rate_elec_end_demand,0.25211857672986404,kWh/h
avg_rate_elec_total_demand,0.3354817789755094,kWh/h
avg_rate_elec_generated,0.2194611029855652,kWh/h
avg_rate_elec_imported,0.0,kWh/h
avg_rate_elec_exported,0.3194145064466629,kWh/h
avg_rate_heat_demand,0.8743701946761564,kWh/h
avg_rate_heat_supply,0.9074898850557879,kWh/h
avg_rate_temp_cons1,0.08663385398499035,°C/h
avg_rate_temp_cons2,0.08434751855457695,°C/h
avg_rate_temp_cons3,0.08338383429739554,°C/h
avg_rate_elec_f_heat_demand_ramp_up,0.5486259743405743,kWh/h
avg_rate_elec_end_demand_ramp_up,0.2769899571936677,kWh/h
avg_rate_elec_total_demand_ramp_up,0.3765736036700674,kWh/h
avg_rate_elec_generated_ramp_up,0.4597835366928047,kWh/h
avg_rate_elec_imported_ramp_up,,kWh/h
avg_rate_elec_exported_ramp_up,0.543744500512225,kWh/h
avg_rate_heat_demand_ramp_up,1.4717325728747361,kWh/h
avg_rate_heat_supply_ramp_up,1.2710305079893984,kWh/h
avg_rate_temp_cons1_ramp_up,0.11741890110346406,°C/h
avg_rate_temp_cons2_ramp_up,0.11614893730884766,°C/h
avg_rate_temp_cons3_ramp_up,0.11296436816343651,°C/h
max_rate_elec_f_heat_demand,3.896103896103896,kWh/h
max_rate_elec_end_demand,1.0796716656950898,kWh/h
max_rate_elec_total_demand,4.2347192771486455,kWh/h
max_rate_elec_generated,1.7450794468747908,kWh/h
max_rate_elec_imported,0.0,kWh/h
max_rate_elec_exported,4.418517338958828,kWh/h
max_rate_heat_demand,15.000000000000004,kWh/h
max_rate_heat_supply,15.000000000000002,kWh/h
max_rate_temp_cons1,1.1536538171784017,°C/h
max_rate_temp_cons2,1.1500339955398111,°C/h
max_rate_temp_cons3,1.193471855202862,°C/h
