Metric,Value,Unit
total_cost,913.1428244944773,CHF
average_heat_value,0.046969293262633965,CHF/kWh
total_expenses,9221.191901577575,CHF
total_revenue,8308.049077083098,CHF
electricity_expenses,1332.081680183568,CHF
electricity_revenue,8275.049077083098,CHF
hydrogen_expenses,7889.110221394008,CHF
hydrogen_revenue,33.0,CHF
expenses_h2_system,7890.74810178301,CHF
revenue_h2_system,8308.049077083098,CHF
expenses_hp_system,1330.443799794566,CHF
heat_cost_cons1,889.6926125670086,CHF
heat_cost_cons2,889.6926125670088,CHF
heat_cost_cons3,889.6926125670092,CHF
total_heat_demand,40633.254660727696,kWh
total_heat_supply,41088.14143464084,kWh
total_heat_waste,6.992000000000001,kWh
total_heat_h2_used,20041.561230836316,kWh
total_heat_el_used,19.136000000000003,kWh
total_heat_fc_used,20022.425230836314,kWh
total_heat_hp_used,21046.58020380453,kWh
total_electricity_demand,6097.135594125442,kWh
total_electricity_supply,57292.38338339905,kWh
total_electricity_h2_demand,83.82696446700507,kWh
total_electricity_el_demand,80.0,kWh
total_electricity_co_demand,3.8269644670050758,kWh
total_electricity_hp_demand,6013.308629658438,kWh
net_electricity,-51195.247789273606,kWh
total_hydrogen_used,2345.3571059193982,kg
total_hydrogen_produced,1.5025380710659897,kg
total_hydrogen_imported,2390.63946102848,kg
total_hydrogen_exported,10.0,kg
avg_hydrogen_storage,5.766762374479588,kg
