Time,PriceImportElectricity,PriceExportElectricity,PriceHydrogen,TemperatureAmbient,HeatValue,HeatH2,HeatEl,HeatFC,HeatHP,HeatWasteEl,HeatWasteFC,HeatDemand1,HeatDemand2,HeatDemand3,HeatConsumption,HeatAvgConsumption,HeatSupply,HeatWaste,ElectricityDemand,LoadH2System,LoadElectrolyser,LoadCompressor,LoadHeatPump,ElectricitySupply,ElectricityFCGeneration,NetElectricity,H2Produced,H2FCUsed,H2Stored,H2Imported,H2Exported,TCons1,TCons2,TCons3,TConsAvg,TCons1Slack,TCons2Slack,TCons3Slack,HeatSlack,DateTime
0,0.1300291,2.9100000000000003e-05,3.3,11.57,0.02657249341526315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.210007547823308,6.27273489679122,0.0,22.5,22.5,22.5,22.5,0.0,0.0,0.0,0.0,2023-01-01 00:00:00
1,0.12296750000000001,-0.0070325,3.3,13.47,0.027573224508237532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.420015095646615,0.0,0.0,22.103311145457717,22.103311145457717,22.103311145457717,22.103311145457713,0.0,0.0,0.0,0.0,2023-01-01 01:00:00
2,0.1261297,-0.0038703,3.3,12.39,0.028611643548097258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.420015095646615,0.0,0.0,21.789977356875944,21.789977356875944,21.789977356875944,21.789977356875948,0.0,0.0,0.0,0.0,2023-01-01 02:00:00
3,0.1225213,-0.0074787000000000005,3.3,11.69,0.02968916987851058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.420015095646615,0.0,0.0,21.448818505053207,21.448818505053207,21.448818505053207,21.448818505053207,0.0,0.0,0.0,0.0,2023-01-01 03:00:00
4,0.1205813,-0.0094187,3.3,11.55,0.03080727629621537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.420015095646615,0.0,0.0,21.094636022486362,21.094636022486362,21.094636022486362,21.094636022486362,0.0,0.0,0.0,0.0,2023-01-01 04:00:00
5,0.1153045,-0.0146955,3.3,13.62,0.031967491064083815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.420015095646615,0.0,0.0,20.748226989477843,20.748226989477843,20.748226989477843,20.748226989477843,0.0,0.0,0.0,0.0,2023-01-01 05:00:00
6,0.1160999,-0.0139001,3.3,14.7,0.0331714,0.0,0.0,0.0,4.566078544032034,0.0,0.0,1.5220261813440112,1.5220261813440112,1.5220261813440112,4.566078544032034,1.5220261813440112,4.566078544032034,0.0,1.3045938697234383,0.0,0.0,0.0,1.3045938697234383,0.0,0.0,1.3045938697234383,0.0,0.0,12.420015095646615,0.0,0.0,20.489518096580007,20.489518096580007,20.489518096580007,20.489518096580007,0.0,0.0,0.0,0.0,2023-01-01 06:00:00
7,0.1293598,-0.0006402000000000001,3.3,14.14,0.03442064864440545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.420015095646615,0.0,0.0,20.555594657441805,20.555594657441805,20.555594657441805,20.555594657441805,0.0,0.0,0.0,0.0,2023-01-01 07:00:00
8,0.1300194,1.94e-05,3.3,11.43,0.03571694450947536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.420015095646615,0.0,0.0,20.322749744736573,20.322749744736573,20.322749744736573,20.322749744736573,0.0,0.0,0.0,0.0,2023-01-01 08:00:00
9,0.1288069,-0.0011931,3.3,12.41,0.036801971428571424,0.0,0.0,0.0,4.5539999999999825,0.0,0.0,1.517999999999994,1.517999999999994,1.517999999999994,4.5539999999999825,1.5179999999999942,4.5539999999999825,0.0,1.301142857142852,0.0,0.0,0.0,1.301142857142852,0.0,0.0,1.301142857142852,0.0,0.0,12.420015095646615,0.0,0.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,2023-01-01 09:00:00
