Metric,Value,Unit
total_cost,5044.428833552067,CHF
remaining_primal_residual_heat,16.47168036363232,kWh
remaining_primal_residual_elec,4.315713820551837,kWh
average_heat_value,0.05719955225260208,CHF/kWh
average_elec_value,0.28417712779831966,CHF/kWh
weighted_avg_heat_value,0.07778122622576414,CHF/kWh
weighted_avg_elec_value,0.29028749261227343,CHF/kWh
total_expenses,5144.5612974059195,CHF
total_revenue,100.13246385385308,CHF
electricity_expenses,5144.561297405911,CHF
electricity_revenue,0.13246385381172276,CHF
hydrogen_expenses,8.038607784645224e-12,CHF
hydrogen_revenue,100.00000000004135,CHF
expenses_h2_system,4.858422201006431,CHF
revenue_h2_system,104.28842405666504,CHF
expenses_hp_system,2618.6240863850358,CHF
revenue_pv_system,1690.2965646980542,CHF
heat_cost_cons1,912.23670532798,CHF
heat_cost_cons2,912.2139732489627,CHF
heat_cost_cons3,912.1908697601137,CHF
heat_cost_cons_total,2736.6415483370565,CHF
electricity_end_expenses,4354.312389184101,CHF
electricity_f_heat_expenses,2623.4825085860307,CHF
total_heat_consumption,35183.83138360183,kWh
total_heat_demand,35183.83138360183,kWh
total_heat_supply,35197.32356107331,kWh
total_heat_solar_gain,5821.3584,kWh
total_heat_waste,6.418572216165079,kWh
total_heat_waste_el,0.29521660136013034,kWh
total_heat_waste_fc,6.123355614804948,kWh
total_heat_h2_used,15.88291107287398,kWh
total_heat_el_used,9.0515946098591,kWh
total_heat_fc_used,6.831316463017365,kWh
total_heat_el_gen,9.34681121121874,kWh
total_heat_fc_gen,12.95467207781643,kWh
total_heat_hp_used,35181.44065000043,kWh
total_heat_ts_used,6.9053850585011265,kWh
total_heat_ts_input,18.702860747949615,kWh
total_energy_ts_stored,979.6976777217254,kWh
total_electricity_for_heat_demand,9169.306331202093,kWh
total_electricity_end_demand,15000.0,kWh
total_electricity_total_demand,24169.306331202093,kWh
total_electricity_generated,6201.672603203082,kWh
total_electricity_imported,18431.955235896905,kWh
total_electricity_exported,8.138300000706304,kWh
total_electricity_h2_demand,31.269798734448578,kWh
total_electricity_el_demand,31.054205455375833,kWh
total_electricity_co_demand,0.21559327905866918,kWh
total_electricity_hp_demand,9138.036532467646,kWh
total_electricity_fc_produced,16.479303203081262,kWh
total_electricity_pv_produced,6185.193300000001,kWh
total_electricity_bat_charged,5264.333583833469,kWh
total_electricity_bat_discharged,4809.24597111279,kWh
total_energy_bat_stored,91067.41045987427,kWh
total_net_electricity_imported,18423.816935896197,kWh
total_hydrogen_used,0.7643604093172223,kg
total_hydrogen_produced,0.5384633708626314,kg
total_hydrogen_imported,8.038607784645232e-13,kg
total_hydrogen_exported,10.000000000004137,kg
avg_hydrogen_storage,7.235193928189658,kg
avg_temp_cons1,21.201805705157767,°C
avg_temp_cons2,21.18443767738789,°C
avg_temp_cons3,21.164341067905173,°C
max_temp_cons1,28.832479801524187,°C
max_temp_cons2,28.832479801523917,°C
max_temp_cons3,28.832479801505862,°C
avg_rate_elec_f_heat_demand,0.18197521925285975,kWh/h
avg_rate_elec_end_demand,0.25211857672986404,kWh/h
avg_rate_elec_total_demand,0.3297387767717282,kWh/h
avg_rate_elec_generated,0.20180415213378886,kWh/h
avg_rate_elec_imported,0.3777156985433472,kWh/h
avg_rate_elec_exported,0.0009290296804228259,kWh/h
avg_rate_heat_demand,0.6961627201353566,kWh/h
avg_rate_heat_supply,0.697509938326848,kWh/h
avg_rate_temp_cons1,0.06264136475474849,°C/h
avg_rate_temp_cons2,0.05963599327272967,°C/h
avg_rate_temp_cons3,0.05334599859917844,°C/h
avg_rate_elec_f_heat_demand_ramp_up,0.13030103977889915,kWh/h
avg_rate_elec_end_demand_ramp_up,0.2769899571936677,kWh/h
avg_rate_elec_total_demand_ramp_up,0.3277251418946715,kWh/h
avg_rate_elec_generated_ramp_up,0.1791797425401244,kWh/h
avg_rate_elec_imported_ramp_up,0.2637261148176468,kWh/h
avg_rate_elec_exported_ramp_up,0.002190069967841005,kWh/h
avg_rate_heat_demand_ramp_up,0.6220307124477925,kWh/h
avg_rate_heat_supply_ramp_up,0.4929958638386326,kWh/h
avg_rate_temp_cons1_ramp_up,0.06972662180898805,°C/h
avg_rate_temp_cons2_ramp_up,0.0650702504466989,°C/h
avg_rate_temp_cons3_ramp_up,0.05865862540747229,°C/h
max_rate_elec_f_heat_demand,3.896103896103478,kWh/h
max_rate_elec_end_demand,1.0796716656950898,kWh/h
max_rate_elec_total_demand,4.270366238611349,kWh/h
max_rate_elec_generated,4.999999999999966,kWh/h
max_rate_elec_imported,8.54825878174956,kWh/h
max_rate_elec_exported,8.1383000004904,kWh/h
max_rate_heat_demand,15.028720185554489,kWh/h
max_rate_heat_supply,14.999999999998277,kWh/h
max_rate_temp_cons1,0.31948492186037925,°C/h
max_rate_temp_cons2,0.3169366054261751,°C/h
max_rate_temp_cons3,0.31313557625919586,°C/h
